STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
984250,99999, 19781205,   84.7, 4,   70.2, 4, 1014.8, 4, 9999.9, 0, 999.9, 0,   5.2, 4,   9.9, 999.9,   87.8*,  82.4*, 0.00I,999.9, 000000,
984250,99999, 19781207,   83.0, 6,   65.6, 6, 1013.6, 6, 9999.9, 0,   9.9, 6,   5.6, 6,   9.9, 999.9,   87.8*,  78.8*, 0.00I,999.9, 000000,
984250,99999, 19781209,   83.0, 6,   71.9, 6, 1012.8, 6, 9999.9, 0,   7.5, 6,   3.4, 6,   6.0, 999.9,   87.8*,  78.8*, 0.16A,999.9, 000000,
984250,99999, 19781211,   83.0, 6,   70.1, 6, 1012.3, 6, 9999.9, 0,   6.8, 5,   3.3, 6,   6.0, 999.9,   89.6*,  77.0*, 0.00A,999.9, 000000,
984250,99999, 19781212,   82.8, 4,   73.8, 4, 1011.3, 4, 9999.9, 0,   8.5, 4,   8.0, 4,  14.0, 999.9,   86.0*,  78.8*, 0.00I,999.9, 000000,
984250,99999, 19781213,   80.9, 7,   72.1, 7, 1010.0, 7, 9999.9, 0,   6.7, 7,   4.3, 7,   8.0, 999.9,   84.2*,  77.0*, 0.02C,999.9, 000000,
984250,99999, 19781214,   80.6, 9,   70.0, 9, 1008.1, 9, 9999.9, 0,   7.5, 9,   8.1, 9,  15.0, 999.9,   86.0*,  75.2*, 0.00A,999.9, 000000,
984250,99999, 19781217,   81.0, 5,   74.8, 4, 1007.8, 4, 9999.9, 0,   9.3, 5,   3.3, 4,   5.1, 999.9,   87.8*,  60.8*, 0.04A,999.9, 010000,
984250,99999, 19781218,   86.0, 5,   74.8, 5, 1009.1, 5, 9999.9, 0,   5.2, 5,   5.4, 5,   7.0, 999.9,   89.6*,  82.4*, 0.00I,999.9, 000000,
984250,99999, 19781219,   82.8, 4,   74.3, 4, 1011.3, 4, 9999.9, 0,   4.8, 4,   2.7, 4,   6.0, 999.9,   86.0*,  80.6*, 0.00B,999.9, 010000,
984250,99999, 19781224,   77.5, 4,   70.7, 4, 1013.3, 4, 9999.9, 0, 999.9, 0,   4.5, 4,   9.9, 999.9,   78.8*,  75.2*, 0.16B,999.9, 010000,
984250,99999, 19781225,   78.1, 5,   72.7, 5, 1012.6, 5, 9999.9, 0,   6.7, 4,   2.4, 5,   4.1, 999.9,   80.6*,  73.4*, 0.01A,999.9, 010000,
984250,99999, 19781226,   83.3, 4,   72.9, 4, 1012.2, 4, 9999.9, 0,   7.1, 4,   4.5, 4,   8.0, 999.9,   86.0*,  80.6*, 0.00I,999.9, 000000,
984250,99999, 19781227,   82.1, 6,   72.5, 6, 1012.0, 6, 9999.9, 0,   6.1, 6,   4.0, 6,   8.0, 999.9,   86.0*,  78.8*, 0.00I,999.9, 000000,
984250,99999, 19781228,   77.4, 4,   73.8, 4, 1012.6, 4, 9999.9, 0,   5.9, 4,   2.5, 4,   9.9, 999.9,   78.8*,  75.2*, 0.93C,999.9, 010000,
984250,99999, 19781229,   76.6, 4,   70.7, 4, 1014.3, 4, 9999.9, 0,   6.2, 4,   2.5, 4,   4.1, 999.9,   77.0*,  75.2*, 0.00I,999.9, 000000,
984250,99999, 19781230,   80.2, 4,   65.8, 4, 9999.9, 0, 9999.9, 0,   8.1, 4,   5.2, 4,   8.0, 999.9,   84.2*,  75.2*, 0.00I,999.9, 000000,
984250,99999, 19781231,   79.5, 5,   65.8, 5, 1014.2, 5, 9999.9, 0,   8.1, 5,   2.0, 5,   4.1, 999.9,   86.0*,  75.2*, 0.35A,999.9, 000000,
984250,99999, 19790103,   80.2, 5,   69.4, 5, 1012.8, 5, 9999.9, 0,   5.3, 4,   5.2, 5,   9.9, 999.9,   84.2*,  75.2*, 0.00G,999.9, 000000,
984250,99999, 19790104,   81.5, 4,   68.9, 4, 1012.5, 4, 9999.9, 0,   5.0, 4,   7.0, 4,  12.0, 999.9,   84.2*,  78.8*, 0.00I,999.9, 000000,
984250,99999, 19790106,   79.2, 4,   68.0, 4, 1013.9, 4, 9999.9, 0,   7.8, 4,   4.5, 4,   8.0, 999.9,   82.4*,  75.2*, 0.00G,999.9, 000000,
