Region,Division,,Enrollment_2012,Enrollment_2011,Enrollment_2010,Enrollment_2009,Enrollment_2008,Enrollment_2007,Enrollment_2006,Enrollment_2005
Region I,Ilocos Norte,Total,56473,55885,54573,54185,54134,53879,53595,53546
Region I,Ilocos Norte,Male,29591,29225,28627,28381,28315,28132,27940,27801
Region I,Ilocos Norte,Female,26882,26660,25946,25804,25819,25747,25655,25745
Region I,Ilocos Sur,Total,69652,69871,68563,67522,66430,66210,65845,66098
Region I,Ilocos Sur,Male,36657,36659,35902,35345,34709,34649,34375,34605
Region I,Ilocos Sur,Female,32995,33212,32661,32177,31721,31561,31470,31493
Region I,La Union,Total,77869,79132,78510,78130,77463,77115,76911,77154
Region I,La Union,Male,40888,41518,41178,40958,40501,40475,40219,40241
Region I,La Union,Female,36981,37614,37332,37172,36962,36640,36692,36913
Region I,"Pangasinan I, Lingayen",Total,176715,176129,174439,174787,174484,172823,172930,173544
Region I,"Pangasinan I, Lingayen",Male,92891,91986,91136,91071,91039,89988,90076,90278
Region I,"Pangasinan I, Lingayen",Female,83824,84143,83303,83716,83445,82835,82854,83266
Region I,"Pangasinan II, Binalonan",Total,134090,133256,133235,134100,134013,132979,134251,135611
Region I,"Pangasinan II, Binalonan",Male,70189,69558,69574,69830,69437,68618,69723,70371
Region I,"Pangasinan II, Binalonan",Female,63901,63698,63661,64270,64576,64361,64528,65240
Region I,Dagupan City,Total,22104,22067,21060,20720,20181,19749,19346,18820
Region I,Dagupan City,Male,11404,11373,10788,10723,10407,10232,10020,9745
Region I,Dagupan City,Female,10700,10694,10272,9997,9774,9517,9326,9075
Region I,Laoag City,Total,11333,10983,10697,10392,10294,10073,9920,9769
Region I,Laoag City,Male,5859,5659,5523,5351,5370,5265,5171,5096
Region I,Laoag City,Female,5474,5324,5174,5041,4924,4808,4749,4673
Region I,San Carlos City,Total,26146,25696,25352,25529,25754,25668,25170,25236
Region I,San Carlos City,Male,13779,13476,13343,13368,13444,13386,13060,13119
Region I,San Carlos City,Female,12367,12220,12009,12161,12310,12282,12110,12117
Region I,Urdaneta City,Total,18231,18090,17497,16910,16445,16209,16237,16496
Region I,Urdaneta City,Male,9651,9580,9259,8873,8594,8554,8404,8545
Region I,Urdaneta City,Female,8580,8510,8238,8037,7851,7655,7833,7951
Region I,Candon City,Total,6536,6501,6299,6179,6102,6143,6177,7377
Region I,Candon City,Male,3443,3429,3348,3277,3199,3208,3219,3787
Region I,Candon City,Female,3093,3072,2951,2902,2903,2935,2958,3590
Region I,Alaminos City,Total,12488,12193,11864,11766,11698,11514,11465,11372
Region I,Alaminos City,Male,6568,6380,6194,6130,6085,6006,5948,5932
Region I,Alaminos City,Female,5920,5813,5670,5636,5613,5508,5517,5440
Region I,Vigan City,Total,5750,5538,5305,4979,4964,4860,4776,4836
Region I,Vigan City,Male,2940,2842,2743,2590,2567,2525,2471,2500
Region I,Vigan City,Female,2810,2696,2562,2389,2397,2335,2305,2336
Region I,San Fernando City,Total,11843,11510,11272,11251,11222,11142,11047,10902
Region I,San Fernando City,Male,6374,6195,6034,5978,5953,5853,5879,5779
Region I,San Fernando City,Female,5469,5315,5238,5273,5269,5289,5168,5123
Region I,Region I,Total,629230,626851,618666,616450,613184,608364,607670,610761
Region I,Region I,Male,330234,327880,323649,321875,319620,316891,316505,317799
Region I,Region I,Female,298996,298971,295017,294575,293564,291473,291165,292962
Region II,Batanes,Total,2329,2315,2238,2248,2227,2274,2315,2359
Region II,Batanes,Male,1198,1188,1164,1179,1170,1178,1206,1256
Region II,Batanes,Female,1131,1127,1074,1069,1057,1096,1109,1103
Region II,Cagayan,Total,137535,134765,134389,136027,137059,135087,135037,136140
Region II,Cagayan,Male,71595,69864,69765,70448,71218,70012,69849,70499
Region II,Cagayan,Female,65940,64901,64624,65579,65841,65075,65188,65641
Region II,Isabela,Total,162150,159696,158347,157179,175147,176242,179777,181721
