region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region I,The Adelphi College,405,26,1 is to 16
Region I,Malasiqui Agno Valley College,450,31,1 is to 15
Region I,Agoo Computer College Philippines,56,14,1 is to 4
Region I,Asbury College,357,11,1 is to 32
Region I,Asia Career College Foundation,212,15,1 is to 14
Region I,Baccarra Medical Center School of Midwifery,34,10,1 is to 3
Region I,CICOSAT Colleges,867,50,1 is to 17
Region I,Colegio de Dagupan,5727,118,1 is to 49
Region I,Dagupan Colleges Foundation,101,16,1 is to 6
Region I,Data Center College of the Philippines-Laoag City,1224,56,1 is to 22
Region I,Divine Word College of Laoag,2200,110,1 is to 20
Region I,Divine Word College of Urdaneta,101,20,1 is to 5
Region I,Divine Word College of Vigan,1088,47,1 is to 23
Region I,Escuela De Nuestra Senora De La Salette,73,19,1 is to 4
Region I,The Great Plebeian College,404,36,1 is to 11
Region I,Lorma Colleges,2960,169,1 is to 18
Region I,Luna Colleges,837,21,1 is to 40
Region I,University of Luzon,6977,204,1 is to 34
Region I,Lyceum Northern Luzon,2391,62,1 is to 39
Region I,Mary Help of Christians College Seminary,69,21,1 is to 3
Region I,National College of Science and Technology-La Union,91,20,1 is to 5
Region I,Northern Christian College,919,66,1 is to 14
Region I,Northern Luzon Adventist College,594,49,1 is to 12
Region I,"Northern Philippines College for Maritime, Science and Technology",2896,87,1 is to 33
Region I,Northwestern University,3607,172,1 is to 21
Region I,Osias Educational Foundation,312,14,1 is to 22
Region I,Palaris College,384,29,1 is to 13
Region I,Panpacific University North Philippines-Urdaneta City,6689,194,1 is to 34
Region I,Pangasinan Merchant Marine Academy,3657,24,1 is to 152
Region I,Perpetual Help College of Pangasinan,900,49,1 is to 18
Region I,Polytechnic College of La union,1588,54,1 is to 29
Region I,Philippine College of Science and Technology,3184,104,1 is to 31
Region I,PIMSAT Colleges-Dagupan,1436,32,1 is to 45
Region I,Saint Columban's College,185,18,1 is to 10
Region I,Saint Louis College-San Fernando City,5066,176,1 is to 29
Region I,"Saint Mary's College-Sta. Maria, Ilocos Sur",301,9,1 is to 33
Region I,Saint Paul College of Ilocos Sur,392,47,1 is to 8
Region I,San Carlos College,648,54,1 is to 12
Region I,Sea and Sky College,891,34,1 is to 26
Region I,Union Christian College,1096,78,1 is to 14
Region I,University of Pangasinan,8232,196,1 is to 42
Region I,NJ Valdez Colleges Foundation,182,19,1 is to 10
Region I,Virgen Milagrosa University Foundation,2566,275,1 is to 9
Region I,Metro-Dagupan Colleges,368,35,1 is to 11
Region I,Pass College,520,39,1 is to 13
Region I,AMA Computer College-Dagupan City,185,11,1 is to 17
Region I,AMA Computer College-Laoag City,288,16,1 is to 18
Region I,Lyceum Northwestern University,5087,191,1 is to 27
Region I,Macro Colleges,71,10,1 is to 7
Region I,Sta. Veronica College,127,12,1 is to 11
Region I,"STI College-San Fernando City, La Union",656,18,1 is to 36
Region I,STI College-Dagupan City,178,21,1 is to 8
Region I,AMA Computer College-La Union,267,12,1 is to 22
Region I,Golden West Colleges,719,31,1 is to 23
Region I,Lyceum Northwestern University-Urdaneta Campus,206,37,1 is to 6
Region I,Data Center College of the Philippines-Vigan City,197,11,1 is to 18
Region I,Colegio San Jose De Alaminos,103,19,1 is to 5
Region I,Our Lady of Manaoag College,201,25,1 is to 8
Region I,South Ilocandia College of Arts and Technology,45,16,1 is to 3
Region I,La Union College of Science and Technology,130,9,1 is to 14
Region I,Luzon College of Science and Technology-Urdaneta,225,16,1 is to 14
Region I,Mystical Rose College of Science and Technology,125,18,1 is to 7
Region I,Saint Therese College Foundation,188,8,1 is to 24
Region I,ABE International College of Business and Accountancy,575,24,1 is to 24
Region I,La Finn's Scholastica,304,26,1 is to 12
Region I,"Philippine Central College of Arts, Science and Technology",0,14,1 is to 0
Region I,Panpacific University North Philippines-Tayug,1174,58,1 is to 20
Region I,Kingfisher School of Business and Finance,524,27,1 is to 19
Region I,Northern Ilocandia College of Science and Technology,367,19,1 is to 19
Region I,AIE College,81,21,1 is to 4
Region I,St. Camillus College of Manaoag Foundation,75,21,1 is to 4
Region I,International College for Excellence,132,30,1 is to 4
Region I,Philippine College of Northwestern Luzon,413,41,1 is to 10
Region I,Philippine Darakbang Theological College,51,13,1 is to 4
Region I,Saint John Bosco College of Northern Luzon,216,22,1 is to 10
Region I,Rosales-Wesleyan Bible College,124,11,1 is to 11
Region I,La Union Christian Comprehensive College,48,5,1 is to 10
Region I,Immaculate Conception School of Theology,88,15,1 is to 6
Region I,Polytechnic Colleges of Region I,43,18,1 is to 2
Region I,WCC Aeronautical and Technological College,199,8,1 is to 25
Region I,PIMSAT Colleges-San Carlos City,158,11,1 is to 14
Region II,Aldersgate College,826,68,1 is to 12
Region II,University of Cagayan Valley,6416,226,1 is to 28
Region II,Eveland Christian College,16,10,1 is to 2
Region II,Fuzeko Polytechnic College,3,5,1 is to 1
Region II,Isabela Colleges,520,24,1 is to 22
Region II,University of La Salette,5716,220,1 is to 26
Region II,Lyceum of Aparri,1514,66,1 is to 23
Region II,Lyceum of Tuao,269,31,1 is to 9
Region II,Medical Colleges of Northern Philippines,1620,31,1 is to 52
Region II,Northeastern College,3504,76,1 is to 46
Region II,Northern Cagayan Colleges Foundation,73,15,1 is to 5
Region II,Our Lady of the Pillar College-Cauayan,1940,89,1 is to 22
Region II,Patria Sable Corpus College,1160,50,1 is to 23
Region II,PLT College,2537,88,1 is to 29
Region II,Quezon Colleges of the North,53,10,1 is to 5
Region II,Saint Anthony's College,294,20,1 is to 15
Region II,Saint Dominic College of Batanes,476,32,1 is to 15
Region II,St. Ferdinand College-Ilagan,1524,89,1 is to 17
Region II,Saint Joseph's College of Baggao,200,21,1 is to 10
Region II,University of Saint Louis-Tuguegarao,5936,230,1 is to 26
Region II,Saint Mary's University of Bayombong ,6583,245,1 is to 27
Region II,Saint Paul University Philippines,3510,180,1 is to 20
Region II,Mallig Plains Colleges,766,41,1 is to 19
Region II,FL Vargas College-Tuguegarao,1264,76,1 is to 17
Region II,Philippine Law Enforcement College,62,12,1 is to 5
Region II,Cagayan Valley Colleges of Quirino,36,12,1 is to 3
Region II,International School of Asia and the Pacific,1761,59,1 is to 30
Region II,Isabela College of Arts and Technology,996,32,1 is to 31
Region II,AMA Computer College-Santiago City,340,15,1 is to 23
Region II,Cagayan Valley Computer and Information Technology College,493,32,1 is to 15
Region II,John Wesley College,40,16,1 is to 3
Region II,AMA Computer College-Tuguegarao City,155,9,1 is to 17
Region II,SISTECH College of Santiago City,116,12,1 is to 10
Region II,Santiago City Colleges,96,19,1 is to 5
Region II,Saint Ferdinand College ,174,17,1 is to 10
Region II,MCN College,64,7,1 is to 9
Region II,Central College of the North,89,12,1 is to 7
Region II,FL Vargas College-Abulug,281,38,1 is to 7
Region II,Metropolitan School of Science and Technology,63,9,1 is to 7
Region II,STI College-Tuguegarao,134,9,1 is to 15
Region II,Sierra College,334,12,1 is to 28
Region II,University of Perpetual Help System,860,50,1 is to 17
Region II,Eastern Luzon Colleges,886,48,1 is to 18
Region II,STI College-Santiago City,226,12,1 is to 19
Region II,HG Baquiran College,307,21,1 is to 15
Region II,Infant Jesus Montessori School-College Department,81,14,1 is to 6
Region II,Maila Rosario Colleges,62,22,1 is to 3
Region II,Our Lady of the Pillar College-Cauayan San Manuel Branch,363,24,1 is to 15
Region II,Northeast Luzon Adventist College,17,9,1 is to 2
Region III,Angeles University Foundation,6930,425,1 is to 16
Region III,Sto. Rosario Sapang Palay College,552,40,1 is to 14
Region III,Baliuag University,3865,176,1 is to 22
Region III,Baliuag Maritime Foundation,594,23,1 is to 26
Region III,Saint Patrick College,47,14,1 is to 3
Region III,Bataan Heroes Memorial College,590,29,1 is to 20
Region III,Camiling Colleges,266,14,1 is to 19
Region III,CIT Colleges of Paniqui Foundation,962,38,1 is to 25
Region III,Central Luzon Doctors' Hospital Educational Institution,1456,88,1 is to 17
Region III,Central Luzon College of Technology-Olongapo,720,37,1 is to 19
Region III,Centro Escolar University,2352,89,1 is to 26
Region III,Colegio De San Pascual Baylon,105,27,1 is to 4
Region III,College of the Holy Spirit of Tarlac,435,36,1 is to 12
Region III,College of the Immaculate Conception,2122,99,1 is to 21
Region III,CORE Gateway College,912,31,1 is to 29
Region III,Columban College-Olongapo City,3216,181,1 is to 18
Region III,College for Research and Technology-Cabanatuan City,498,30,1 is to 17
Region III,World Citi Colleges-Guimba Campus,271,18,1 is to 15
Region III,Divina Pastora College,246,12,1 is to 21
Region III,Dominican College of Tarlac,650,12,1 is to 54
Region III,Dr. Gloria D. Lacson Foundation Colleges-Nueva Ecija,807,34,1 is to 24
Region III,Dr. Yanga's Colleges,2696,116,1 is to 23
Region III,East Central Colleges,314,41,1 is to 8
Region III,Ednor Colleges,52,7,1 is to 7
Region III,General De Jesus College,1060,48,1 is to 22
Region III,The Good Samaritan Colleges,760,63,1 is to 12
Region III,Guagua National Colleges,1049,64,1 is to 16
Region III,Harvardian Colleges,1805,ND,ND
Region III,Holy Angel University,13494,483,1 is to 28
Region III,Holy Cross College-Nueva Ecija,168,19,1 is to 9
Region III,Holy Cross College-Pampanga,342,43,1 is to 8
Region III,Immaculate Conception Major Seminary,131,23,1 is to 6
Region III,Interworld College of Technology Foundation-Tarlac,639,29,1 is to 22
Region III,Jesus Is Lord Colleges Foundation,86,25,1 is to 3
Region III,Jose C. Feliciano College,606,37,1 is to 16
